name,normalizedName,occurrenceCount,productCount,exampleRawNames
정제수,정제수,188,188,정제수
"1,2-헥산다이올",12헥산다이올,185,185,"1,2-헥산다이올"
부틸렌글라이콜,부틸렌글라이콜,176,176,부틸렌글라이콜
글리세린,글리세린,169,169,글리세린
에틸헥실글리세린,에틸헥실글리세린,158,158,에틸헥실글리세린
소듐하이알루로네이트,소듐하이알루로네이트,118,118,"소듐하이알루로네이트 | 소듐하이알루로네이트 (3%) | 소듐하이알루로네이트(1001 ppm) | 소듐하이알루로네이트(1,100 ppm) | 소듐하이알루로네이트(0.1%)"
판테놀,판테놀,107,107,판테놀 | 판테놀 (510ppm)
다이소듐이디티에이,다이소듐이디티에이,103,103,다이소듐이디티에이
프로판다이올,프로판다이올,87,87,프로판다이올
하이드로제네이티드레시틴,하이드로제네이티드레시틴,87,87,하이드로제네이티드레시틴
알란토인,알란토인,85,85,알란토인
나이아신아마이드,나이아신아마이드,82,82,나이아신아마이드 | 나이아신아마이드 (15%) | 나이아신아마이드(5%)
잔탄검,잔탄검,81,81,잔탄검
트로메타민,트로메타민,80,80,트로메타민
토코페롤,토코페롤,78,78,토코페롤
다이프로필렌글라이콜,다이프로필렌글라이콜,74,74,다이프로필렌글라이콜
카보머,카보머,74,74,카보머
병풀추출물,병풀추출물,72,72,"병풀추출물 (11,198ppm) | 병풀추출물 (10ppm) | 병풀추출물 | 병풀추출물 (25,715ppm) | 병풀추출물 (22,124ppm)"
세라마이드엔피,세라마이드엔피,70,70,세라마이드엔피 | 세라마이드엔피(0.75 ppm) | 세라마이드엔피(40ppm)
카프릴릭/카프릭트라이글리세라이드,카프릴릭카프릭트라이글리세라이드,66,66,카프릴릭/카프릭트라이글리세라이드
하이드롤라이즈드하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,62,62,하이드롤라이즈드하이알루로닉애씨드 | 하이드롤라이즈드하이알루로닉애씨드(22.5ppm) | 하이드롤라이즈드하이알루로닉애씨드(15ppb)
아데노신,아데노신,60,60,아데노신
베타인,베타인,55,55,베타인
펜틸렌글라이콜,펜틸렌글라이콜,53,53,펜틸렌글라이콜
하이알루로닉애씨드,하이알루로닉애씨드,53,53,하이알루로닉애씨드 | 하이알루로닉애씨드(21ppm) | 하이알루로닉애씨드(10ppb)
알지닌,알지닌,50,50,알지닌
